address,square_feet,land_area,year_built,property_class,use_type,market_value
2200 W 43RD CHICAGO,16244.0,54937.0,1972,5-93,Industrial-Storage Warehouses,1135000.0
3531 W 47TH CHICAGO,41075.0,53021.0,1971,"5-93, 5-93",Industrial-Light Manufacturing,2041000.0
4519 S HALSTED CHICAGO,6882.0,15750.0,1915,"5-93, 5-93, 5-17, 5-17",Industrial-Light Manufacturing,437000.0
6101 S SAYRE CHICAGO,34482.0,73506.0,1971,5-93,Industrial-Storage Warehouses,1792000.0
900 W 49TH CHICAGO,38888.0,112840.0,1937,"5-93, 5-80, 5-80, 5-80",Industrial-Storage Warehouses,1347000.0
1800 W 43RD CHICAGO,40207.0,424342.0,1971,"5-93, 5-93",Industrial-Storage Warehouses,5993000.0
6939 W 59TH CHICAGO,15460.0,33404.0,1971,5-93,Industrial-Light Manufacturing,884000.0
2833 W 79TH CHICAGO,10362.0,10541.0,1971,5-93,Industrial-Storage Warehouses,395000.0
7000 W 60TH CHICAGO,75467.0,100216.0,1970,5-93,Industrial-Heavy (Process) Manufacturing,3922000.0
1415 W 44TH CHICAGO,176363.0,348983.0,1981,6-63,Industrial-Heavy (Process) Manufacturing,13011000
6029 S HARLEM CHICAGO,89833.0,202778.0,1971,5-93,Industrial-Storage Warehouses,4669000.0
4342 S DAMEN CHICAGO,299190.0,403665.0,1970,"5-93, 5-93, 5-93, 5-93",Industrial-Distribution Warehouse  Single Story,15205000
1120 W EXCHANGE CHICAGO,88112.0,120923.0,1970,5-93,Industrial-Storage Warehouses,5426000.0
5262 S KOLMAR CHICAGO,58069.0,112817.0,1970,5-93,Industrial-Storage Warehouses,2012000.0
4726 S TALMAN CHICAGO,10381.0,12600.0,1970,"5-93, 5-93, 5-93, 5-93",Industrial-Light Manufacturing,396000.0
5212 S ARCHER CHICAGO,2250.0,2750.0,1970,5-93,Industrial-Storage Warehouses,94000.0
3800 W 51ST CHICAGO,38000.0,85033.0,1970,5-93,Industrial-Light Manufacturing,1975000.0
3605 W 63RD CHICAGO,26650.0,57912.0,1970,5-93,Industrial-Utility NonEnergy Production,876000.0
7301 S HAMLIN CHICAGO,55000.0,171826.0,1970,5-93,Industrial-Storage Warehouses,1906000.0
3555 W COLUMBUS CHICAGO,5917.0,50668.0,1970,5-93,Industrial-Storage Warehouses,614000.0
1860 W 43RD CHICAGO,15136.0,150935.0,1970,5-93,Industrial-Storage Warehouses,2264000.0
5720 S CENTRAL CHICAGO,6250.0,12500.0,1969,"5-93, 5-93, 5-93, 5-93",Industrial-Storage Warehouses,357000.0
6033 S OAK PARK CHICAGO,17162.0,21987.0,1969,"5-93, 5-93, 5-93",Industrial-Storage Warehouses,981000.0
2100 W 80TH CHICAGO,22087.0,27859.0,1969,5-93,Industrial-Storage Warehouses,765000.0
4101 S MORGAN CHICAGO,16062.0,40158.0,1969,5-93,Industrial-Storage Warehouses,1088000.0
6220 S NEW ENGLAND CHICAGO,17140.0,36390.0,1969,"5-93, 5-80",Industrial-Light Manufacturing,980000.0
